Period,Value,Three-Month-MA,Above Average,Year over Year
Jan-2020,525411.0,,False,
Feb-2020,525380.0,,False,
Mar-2020,477676.0,509489.0,False,
Apr-2020,408312.0,470456.0,False,
May-2020,484978.0,456988.67,False,
Jun-2020,526970.0,473420.0,False,
Jul-2020,535644.0,515864.0,False,
Aug-2020,540423.0,534345.67,False,
Sep-2020,551131.0,542399.33,False,
Oct-2020,549271.0,546941.67,False,
Nov-2020,544421.0,548274.33,False,
Dec-2020,549300.0,547664.0,False,
Jan-2021,570510.0,554743.67,False,8.58
Feb-2021,555489.0,558433.0,False,5.73
Mar-2021,616348.0,580782.33,False,29.03
Apr-2021,622705.0,598180.67,False,52.51
May-2021,615543.0,618198.67,False,26.92
Jun-2021,622125.0,620124.33,False,18.06
Jul-2021,612647.0,616771.67,False,14.38
Aug-2021,616892.0,617221.33,False,14.15
Sep-2021,620529.0,616689.33,False,12.59
Oct-2021,630562.0,622661.0,False,14.8
Nov-2021,637775.0,629622.0,False,17.15
Dec-2021,632515.0,633617.33,False,15.15
Jan-2022,644034.0,638108.0,False,12.89
Feb-2022,650522.0,642357.0,True,17.11
Mar-2022,664167.0,652907.67,True,7.76
Apr-2022,673245.0,662644.67,True,8.12
May-2022,671040.0,669484.0,True,9.02
Jun-2022,675702.0,673329.0,True,8.61
Jul-2022,671067.0,672603.0,True,9.54
Aug-2022,675107.0,673958.67,True,9.44
Sep-2022,673312.0,673162.0,True,8.51
Oct-2022,681748.0,676722.33,True,8.12
Nov-2022,673674.0,676244.67,True,5.63
Dec-2022,666734.0,674052.0,True,5.41
Jan-2023,693826.0,678078.0,True,7.73
Feb-2023,686434.0,682331.33,True,5.52
Mar-2023,679067.0,686442.33,True,2.24
Apr-2023,683698.0,683066.33,True,1.55
May-2023,686672.0,683145.67,True,2.33
Jun-2023,688810.0,686393.33,True,1.94
Jul-2023,690641.0,688707.67,True,2.92
Aug-2023,696238.0,691896.33,True,3.13
Sep-2023,702109.0,696329.33,True,4.28
Oct-2023,699365.0,699237.33,True,2.58
Nov-2023,697167.0,699547.0,True,3.49
Dec-2023,699821.0,698784.33,True,4.96
Jan-2024,694131.0,697039.67,True,0.04
Feb-2024,699739.0,697897.0,True,1.94
Mar-2024,702520.0,698796.67,True,3.45
Apr-2024,702681.0,701646.67,True,2.78
May-2024,704309.0,703170.0,True,2.57
Jun-2024,702350.0,703113.33,True,1.97
Jul-2024,710851.0,705836.67,True,2.93
Aug-2024,710038.0,707746.33,True,1.98
Sep-2024,716388.0,712425.67,True,2.03
Oct-2024,720393.0,715606.33,True,3.01
Nov-2024,725079.0,720620.0,True,4.0
Dec-2024,730336.0,725269.33,True,4.36
Jan-2025,722944.0,726119.67,True,4.15
Feb-2025,724535.0,725938.33,True,3.54
Mar-2025,734870.0,727449.67,True,4.6
Apr-2025,,,False,4.58
May-2025,,,False,4.34
Jun-2025,,,False,4.63
Jul-2025,,,False,3.38
Aug-2025,,,False,3.5
Sep-2025,,,False,2.58
Oct-2025,,,False,2.01
Nov-2025,,,False,1.35
Dec-2025,,,False,0.62
